Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,MRP,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Breadth (product.metafields.custom.breadth),Dexterity (product.metafields.custom.dexterity),Gender (product.metafields.custom.gender),Grade (product.metafields.custom.grade),Height (product.metafields.custom.height),HSN Code (product.metafields.custom.hsn_code),Kit Options (product.metafields.custom.kit_options),Knob Adjuster (product.metafields.custom.knob_adjuster),Length (product.metafields.custom.length),Materials (product.metafields.custom.materials),Material Quality (product.metafields.custom.material_quality),Pack Size (product.metafields.custom.pack_size),Profile (product.metafields.custom.profile),Sizes (product.metafields.custom.sizes),Size Chart (product.metafields.custom.size_chart),Type (product.metafields.custom.type),Weight (product.metafields.custom.weight),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Autograph type (product.metafields.shopify.autograph-type),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Ball material (product.metafields.shopify.ball-material),Ball size (product.metafields.shopify.ball-size),Bat material (product.metafields.shopify.bat-material),Body area (product.metafields.shopify.body-area),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Cricket equipment included (product.metafields.shopify.cricket-equipment-included),Earplug use (product.metafields.shopify.earplug-use),Exercise equipment included (product.metafields.shopify.exercise-equipment-included),Eyewear frame color (product.metafields.shopify.eyewear-frame-color),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Hammer head material (product.metafields.shopify.hammer-head-material),Hand side (product.metafields.shopify.hand-side),Handle material (product.metafields.shopify.handle-material),Handwear material (product.metafields.shopify.handwear-material),Headwear features (product.metafields.shopify.headwear-features),Heel height type (product.metafields.shopify.heel-height-type),Ice pack type (product.metafields.shopify.ice-pack-type),Lens polarization (product.metafields.shopify.lens-polarization),Material (product.metafields.shopify.material),Occasion style (product.metafields.shopify.occasion-style),Racket balance (product.metafields.shopify.racket-balance),Racket head shape (product.metafields.shopify.racket-head-shape),Racket material (product.metafields.shopify.racket-material),Recommended skill level (product.metafields.shopify.recommended-skill-level),Resistance level (product.metafields.shopify.resistance-level),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Signature placement (product.metafields.shopify.signature-placement),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Spinner type (product.metafields.shopify.spinner-type),Suitcase handle type (product.metafields.shopify.suitcase-handle-type),Swing style (product.metafields.shopify.swing-style),Tape material (product.metafields.shopify.tape-material),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Toy/Game material (product.metafields.shopify.toy-game-material),Treatment objective (product.metafields.shopify.treatment-objective),Usage type (product.metafields.shopify.usage-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ss-players-premium-panama-hat,,,,,,,,,S,,,beige,,,,,,0,shopify,deny,manual,520,,,TRUE,TRUE,,,,,'50952482,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_1.png?v=1772734271,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_1.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,M,,,white,,,,,,0,shopify,deny,manual,500,,,TRUE,TRUE,,,,,'02161954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_2.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,M,,,beige,,,,,,0,shopify,deny,manual,520,,,TRUE,TRUE,,,,,'50985250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_1.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,L,,,white,,,,,,0,shopify,deny,manual,500,,,TRUE,TRUE,,,,,'02194722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_2.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,L,,,beige,,,,,,0,shopify,deny,manual,520,,,TRUE,TRUE,,,,,'51018018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_1.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,XL,,,white,,,,,,0,shopify,deny,manual,500,,,TRUE,TRUE,,,,,'02227490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_2.png?v=1772734271,lb,,,
ss-players-premium-panama-hat,,,,,,,,,XL,,,beige,,,,,,0,shopify,deny,manual,520,,,TRUE,TRUE,,,,,'51050786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSPlayersPanamaHat_1.png?v=1772734271,lb,,,
ss-ranger-spike-shoes-for-men-and-boys,SS Ranger Spike Shoes,"<p><strong>SS Ranger Spike Shoes for Men and Boys</strong></p>
<ul>
<li>Colour – Multi</li>
<li>Net Quantity: 1 Pair</li>
<li>Upper material: good quality PVC with diamond power mesh</li>
<li>Sole: phylon Rubber sole with 22 steel nails</li>
<li>(1 key and 1 nail free) thermoplastic counter three dimensional comfort lining for superior Long lasting fit and feel</li>
<li>Stylish look maximum comfort ,secure fit, light weight durable performance pair.</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Shoes,,,TRUE,Shoe size,6,product.metafields.shopify.shoe-size,,,,,,,,0,shopify,deny,manual,2900,,,TRUE,FALSE,,,,,'04325666,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSRangerSpikeShoes_1.png?v=1771298277,1,,FALSE,,,187,,,,,,,,,,,,,,,,6404.11,,,,,,,,,,,,,,,,,,,,,adults; teens; youth,,,,,,,,,,velcro; lace-up,blue; white,,,,,,,polyvinyl-chloride-pvc; mesh; rubber,,,,,,,,,,,,,,,,lightweight,,6; 7; 8; 9; 10; 11,,,,,,,,,,,,,,,,,,lb,,,active
ss-ranger-spike-shoes-for-men-and-boys,,,,,,,,,7,,,,,,,,'04358434,0,shopify,deny,manual,2900,,,TRUE,TRUE,,,,,'04358434,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSRangerSpikeShoes_2.png?v=1771298277,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ss-ranger-spike-shoes-for-men-and-boys,,,,,,,,,8,,,,,,,,'04391202,0,shopify,deny,manual,2900,,,TRUE,TRUE,,,,,'04391202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ss-ranger-spike-shoes-for-men-and-boys,,,,,,,,,9,,,,,,,,,0,shopify,deny,manual,2900,,,TRUE,TRUE,,,,,'04423970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ss-ranger-spike-shoes-for-men-and-boys,,,,,,,,,10,,,,,,,,,0,shopify,deny,manual,2900,,,TRUE,TRUE,,,,,'04456738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ss-ranger-spike-shoes-for-men-and-boys,,,,,,,,,11,,,,,,,,,0,shopify,deny,manual,2900,,,TRUE,TRUE,,,,,'04489506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ton-super-kashmir-willow-cricket-bat,TON Super KW Bat,"<p><strong>TON Super Kashmir Willow Cricket Bat -SH</strong></p>
<ul>
<li>Package contents: 1 Bat      and      1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>Super Grade 4 Premium Kashmir Willow</li>
<li>Air Dried Willow ,</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance</li>
<li>Embossed sticker with 3 Tone Grip,</li>
<li>Wide Play area with Clean bat face,</li>
<li>Premium / Portable SS Bat cover</li>
<li>Pride to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,3000,,0,TRUE,TRUE,,,,,'69811234,,,,FALSE,,,,,,,,,,,,,,,,,grade-4,,,,,,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ton-50-english-willow-cricket-bat,Ton 50 English Willow Bat,"<p><strong>Ton 50 English Willow Cricket Bat-SH</strong></p>
<ul>
<li>Package contents: 1 Bat      and       1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,12000,,0,TRUE,TRUE,,,,,'61815842,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/Ton50EWBat_1.png?v=1771298049,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ton-50-english-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/Ton50EWBat_2.png?v=1771298049,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ton-50-english-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/Ton50EWBat_3.png?v=1771298049,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ton-50-english-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/Ton50EWBat_4.png?v=1771298049,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-dhoni-thala-english-willow-cricket-bat-full-sticker,SS Dhoni Thala EW Bat (Full Sticker),"<p><strong>SS Dhoni Thala English willow Cricket Bat (Full Sticker) – SH</strong></p>
<ul>
<li>Package contents: 1 Bat      and     1 Cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
</ul>
<ul>
<li>Natural bat with full covered sticker</li>
<li>Front Grain +Net tape</li>
<li>Edges 33mm-38mm</li>
<li>With Good balance and good punch</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,8000,,0,TRUE,TRUE,,,,,'43727906,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSDhoniThalaEWBat_FullSticker__1.png?v=1771297349,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-dhoni-thala-english-willow-cricket-bat-full-sticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSDhoniThalaEWBat_FullSticker__2.png?v=1771297349,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-soft-pro-player-kashmir-willow-cricket-scoop-bat,SS Soft Pro Player Kashmir Willow Cricket Scoop Bat,"<p><strong>SS Soft Pro Player Kashmir Willow Cricket Scoop Bat -SH (Scoop Design May Very)</strong></p>
<ul>
<li>Package contents: 1 Bat      and       1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>Kashmir Willow Grade</li>
<li>Air Dried Willow ,</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance</li>
<li>Wide Play area with Clean bat face,</li>
<li>Premium / Portable SS Bat cover</li>
<li>Pride to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,3000,,0,TRUE,TRUE,,,,,'61013538,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-shivam-dube-kashmir-willow-cricket-bat,SS Shivam Dube Kashmir Willow Cricket Bat,"<p><strong>SS Shivam Dube Kashmir Willow Cricket Bat (Painted) -SH</strong></p>
<ul>
<li>Package contents: 1 Bat        and        1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>Round Handle</li>
<li>Specially Designed White Chevron Grip</li>
<li>Combination of Sarawak cane Handle</li>
<li>Concave Edge</li>
<li>FULL PAINTED BATS</li>
<li>Pride to be Made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,3000,,0,TRUE,TRUE,,,,,'03472930,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-soft-pro-players-scoop-bat-with-fiber-tape-1,SS SOFT PRO PLAYERS SCOOP BAT WITH FIBER TAPE,"<p><strong>SS SOFT PRO PLAYERS SCOOP BAT WITH FIBER TAPE (SCOOP DESIGN MAY VERY)</strong></p>
<ul>
<li>Package contents: 1 Bat       and       1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,2500,,0,TRUE,TRUE,,,,,'65462050,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jumbo,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-tilak-varma-player-kashmir-willow-cricket-bat,SS Tilak Varma Player KW Bat,"<p><strong>SS Tilak Varma Player Kashmir Willow Cricket Bat-SH</strong></p>
<ul>
<li>Package contents: 1 Bat      and     1 Cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
</ul>
<ul>
<li>Kashmir Willow Grade 1</li>
<li>Air Dried Willow</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance<br>Latest sticker</li>
<li> Wide Play area with Clean bat face,</li>
<li> Antiscuff covered Front</li>
<li> Premium / Portable SS Bat cover</li>
<li> Proud to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,5800,,0,TRUE,TRUE,,,,,'96026658,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSTilakVarmaPlayerKWBat_1.png?v=1771296948,1,,FALSE,,,,,,,,,,,,,,,,,grade-1,,,,,,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-tilak-varma-player-kashmir-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSTilakVarmaPlayerKWBat_2.png?v=1771296947,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-tilak-varma-player-kashmir-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSTilakVarmaPlayerKWBat_3.png?v=1771296948,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-tilak-varma-player-kashmir-willow-cricket-bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSTilakVarmaPlayerKWBat_4.png?v=1771296948,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-master-99-english-willow-cricket-bat,SS Master 99 EW Bat,"<p><strong>SS Master 99 English Willow Cricket Bat - SH</strong></p>
<ul>
<li>Package contents: 1 Bat       and        1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>English Willow</li>
<li>Air Dried Willow</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance</li>
<li>Embossed Chrome sticker with high quality Grip</li>
<li>Wide Play area with Clean bat face,</li>
<li>Premium / Portable SS Bat cover</li>
<li>Pride to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,5,,,,,,,,,0,shopify,deny,manual,9400,,0,TRUE,TRUE,,,,,'84131874,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-master-99-english-willow-cricket-bat,,,,,,,,,6,,,,,,,,,0,shopify,deny,manual,9400,,0,TRUE,TRUE,,,,,'91144226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
ss-thala-legend-kashmir-willow-cricket-bat,SS Thala Legend Kashmir Willow Cricket Bat,"<p><strong>SS Thala Legend Kashmir Willow Cricket Bat -SH</strong></p>
<ul>
<li>Package contents: 1 Bat       and       1 cover</li>
</ul>
<p>Product size</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>Kashmir Willow Hand Selected Grade 4</li>
<li>Air Dried Willow</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance</li>
<li>Embossed sticker with 3 Tone Grip,</li>
<li>Wide Play area with Clean bat face,</li>
<li>Premium / Portable SS Bat cover</li>
<li>Pride to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,6,,,,,,,,,0,shopify,deny,manual,4200,,0,TRUE,TRUE,,,,,'71417890,,,,FALSE,,,,,,,,,,,,,,,,,grade-4,,,,,,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-plastic-cricket-bat-1,SS Sky White Plastic Cricket Bat,"<ul>
<li>Plastic Cricket Bat</li>
<li>Size - 8</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,8,,,,,,,,,0,shopify,deny,manual,560,,0,TRUE,TRUE,,,,,'54902818,,,,FALSE,,,,,,,,,,,,,,,,,grade-1,,,,,,,,,,,,jumbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-gladiator-kashmir-willow-cricket-bat-1,SS Gladiator KW Bat,"<p><strong>SS Gladiator Kashmir Willow Cricket Bat</strong></p>
<ul>
<li>Package contents: 1 Bat        and        1 cover</li>
</ul>
<ul>
<li>Kashmir Willow Hand Selected Grade 1</li>
<li>Air Dried Willow ,</li>
<li>Designed as per Specification of World Top Player,</li>
<li>Latest Shape With Massive concave TON Edges enable high impact with optimum performance</li>
<li>Embossed sticker with High Quality Grip,</li>
<li>Wide Play area with Clean bat face,</li>
<li>Premium / Portable SS Bat cover</li>
<li>Pride to be made in India</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,5,,,,,,,,,0,shopify,deny,manual,3530,,0,TRUE,TRUE,,,,,'23783202,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSGladiatorKWBat_1.png?v=1771296194,1,,FALSE,,,,,,,,,,,,,,,,,grade-1,,,,,,,,,,,,kashmir-willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-gladiator-kashmir-willow-cricket-bat-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSGladiatorKWBat_2.png?v=1771296194,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-gladiator-kashmir-willow-cricket-bat-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSGladiatorKWBat_3.png?v=1771296194,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss-gladiator-kashmir-willow-cricket-bat-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSGladiatorKWBat_4.png?v=1771296193,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
